,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
75,0.02564102564102564,0.21875,0.5,0.17239839213934793,0.002664594204507605,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9513164431197219,0.3333333333333333,0.13636363636363635,0.18472866242791253,0.6505681818181818
76,0.02564102564102564,0.21875,0.5,0.1737382760160786,0.00510713889197291,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9622454048683556,0.3333333333333333,0.13636363636363635,0.21921143803519116,0.5823863636363636
77,0.02564102564102564,0.21875,0.5,0.17418490397498884,0.006217386477184412,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9582712369597616,0.3333333333333333,0.13636363636363635,0.2832508784487086,0.9289772727272727
78,0.02564102564102564,0.21875,0.875,0.17463153193389908,0.004218940823803708,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9438648782911078,0.3333333333333333,0.13636363636363635,0.4364529243610465,0.5539772727272727
79,0.02564102564102564,0.21875,0.5,0.17552478785171952,0.000999222826690352,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9582712369597616,0.3333333333333333,0.13636363636363635,0.12684686051569483,0.9119318181818182
80,0.02564102564102564,0.21875,0.5,0.17552478785171952,0.000999222826690352,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9582712369597616,0.3333333333333333,0.13636363636363635,0.1453197760195941,0.9914772727272727
81,0.02564102564102564,0.21875,0.5,0.17552478785171952,0.0013322971022538025,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9438648782911078,0.3333333333333333,0.13636363636363635,0.1453197760195941,0.5994318181818182
82,0.02564102564102564,0.21875,0.5,0.17552478785171952,0.0013322971022538025,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9438648782911078,0.3333333333333333,0.13636363636363635,0.31773365405598725,0.8409090909090909
83,0.02564102564102564,0.21875,0.5,0.17552478785171952,0.002220495170423004,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9538002980625931,0.3333333333333333,0.13636363636363635,0.24630504744091006,0.25
84,0.02564102564102564,0.21875,0.875,0.17552478785171952,0.0027756189630287554,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9577744659711873,0.3333333333333333,0.13636363636363635,0.28916221140995635,0.9261363636363636
85,0.02564102564102564,0.21875,0.875,0.17552478785171952,0.0028866437215499057,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9438648782911078,0.3333333333333333,0.13636363636363635,0.2561572690429897,0.18181818181818182
86,0.02564102564102564,0.21875,0.875,0.17552478785171952,0.0028866437215499057,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9438648782911078,0.3333333333333333,0.13636363636363635,0.27093560144610906,0.4971590909090909
87,0.02564102564102564,0.21875,0.875,0.17552478785171952,0.0028866437215499057,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9438648782911078,0.3333333333333333,0.13636363636363635,0.27093560144610906,0.8920454545454546
88,0.02564102564102564,0.21875,0.875,0.17552478785171952,0.00532918840901521,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9438648782911078,0.3333333333333333,0.13636363636363635,0.4162558700767833,0.8522727272727273
89,0.02564102564102564,0.21875,0.875,0.17552478785171952,0.005440213167536361,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9438648782911078,0.3333333333333333,0.13636363636363635,0.26097993151720766,0.8181818181818182
92,0.02564102564102564,0.21875,0.5,0.17641804376953998,0.006661485511269013,0.14414414414414414,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9438648782911078,0.3333333333333333,0.13636363636363635,0.23152671503779065,0.4090909090909091
93,0.02564102564102564,0.25,0.5,0.16703885663242518,0.006106361718663262,0.21621621621621623,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9438648782911078,0.3333333333333333,0.20909090909090908,0.447782979203438,0.45454545454545453
94,0.02564102564102564,0.25,0.5,0.16703885663242518,0.006106361718663262,0.21621621621621623,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9438648782911078,0.3333333333333333,0.20909090909090908,0.4285711470793828,0.2727272727272727
95,0.02564102564102564,0.25,0.5,0.16703885663242518,0.006106361718663262,0.21621621621621623,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9438648782911078,0.3333333333333333,0.20909090909090908,0.2650242684848613,0.9346590909090909
96,0.02564102564102564,0.25,0.5,0.16748548459133542,0.0038858665482402574,0.18018018018018017,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9637357178340785,0.3333333333333333,0.17272727272727273,0.33743809726014645,0.6676136363636364
97,0.02564102564102564,0.25,0.5,0.16748548459133542,0.0038858665482402574,0.18018018018018017,0.0,0.017316017316017316,0.0,0.0,0.0,0.0,0.0,0.9637357178340785,0.3333333333333333,0.17272727272727273,0.374383928267945,0.9886363636363636
